date	stage	time	values
2020-02-22	presymp	active	3.774003144838548
2020-02-22	positive	new	1.5551971421359434
2020-02-22	positive	active	6.981253095833699
2020-02-22	infectious	new	1.3692412359142252
2020-02-22	infectious	active	5.500339251175532
2020-02-22	possymp	new	0
2020-02-22	possymp	active	0
2020-02-23	infections	start	3.127436579864719
2020-02-23	positive	start	1.88699939182811
2020-02-23	infectious	start	1.5770491699713094
2020-02-23	symptoms	start	1.2822171845939434
2020-02-23	infectious	end	0
2020-02-23	symptoms	end	0
2020-02-23	positive	end	0
2020-02-23	reported	end	0
2020-02-23	symptoms	new	1.2822171845939434
2020-02-23	symptoms	active	4.489467135589094
2020-02-23	presymp	new	0.6047822072341666
2020-02-23	presymp	active	4.378785352072715
2020-02-23	positive	new	1.88699939182811
2020-02-23	positive	active	8.86825248766181
2020-02-23	infectious	new	1.5770491699713094
2020-02-23	infectious	active	7.077388421146842
2020-02-23	possymp	new	0
2020-02-23	possymp	active	0
2020-02-24	infections	start	4.010082680384194
2020-02-24	positive	start	2.4321315355983355
2020-02-24	infectious	start	1.9125970160953378
2020-02-24	symptoms	start	1.5047175056970716
2020-02-24	infectious	end	0
2020-02-24	symptoms	end	0
2020-02-24	positive	end	0
2020-02-24	reported	end	0
2020-02-24	symptoms	new	1.5047175056970716
2020-02-24	symptoms	active	5.994184641286166
2020-02-24	presymp	new	0.9274140299012639
2020-02-24	presymp	active	5.306199381973978
2020-02-24	positive	new	2.4321315355983355
2020-02-24	positive	active	11.300384023260145
2020-02-24	infectious	new	1.9125970160953378
2020-02-24	infectious	active	8.98998543724218
2020-02-24	possymp	new	0
2020-02-24	possymp	active	0
2020-02-25	infections	start	5.140291642120945
2020-02-25	positive	start	3.15522933142755
2020-02-25	infectious	start	2.4576328039388713
2020-02-25	symptoms	start	1.728921138782093
2020-02-25	infectious	end	0
2020-02-25	symptoms	end	0
2020-02-25	positive	end	0
2020-02-25	reported	end	0.4795898293414646
2020-02-25	symptoms	new	1.728921138782093
2020-02-25	symptoms	active	7.723105780068259
2020-02-25	presymp	new	1.426308192645457
2020-02-25	presymp	active	6.732507574619436
2020-02-25	positive	new	3.15522933142755
2020-02-25	positive	active	14.455613354687694
2020-02-25	infectious	new	2.4576328039388713
2020-02-25	infectious	active	11.44761824118105
2020-02-25	possymp	new	0
2020-02-25	possymp	active	0
2020-02-26	infections	start	6.659566982695161
2020-02-26	positive	start	4.029898341840131
